year,county1,county,fbfmcode,debt_to_asset,Cash_acres,Share_acres,Owned_Acres,Total_Acres,spr,Cash_percent,Share_percent,Owned_percent
2006,Adams,ADAMS,1,0.153161335,5235,6116,4212,15563,81.46578423,0.336374735,0.392983358,0.270641907
2006,Bond,BOND,3,0.404833342,42,468,58,568,55,0.073943662,0.823943662,0.102112676
2006,Boone,BOONE,4,#DIV/0!,1456,210,287,1953,74.68100358,0.745519713,0.107526882,0.146953405
2006,Brown,BROWN,5,0.254610727,616,154,45,815,82,0.755828221,0.188957055,0.055214724
2006,Bureau,BUREAU,6,0.414776198,22657,7837,5643,36137,84.38882586,0.626975122,0.216869137,0.156155741
2006,Carroll,CARROLL,8,0.403516877,8689,534,5021,14244,73.44158944,0.610011233,0.037489469,0.352499298
2006,Cass,CASS,9,0.338880704,1422,3455,2407,7284,70.35186711,0.195222405,0.474327293,0.330450302
2006,Champaign,CHAMPAIGN,10,0.222710252,10883,21666,3718,36267,92.09609287,0.300079963,0.597402597,0.10251744
2006,Clark,CLARK,12,0.33961088,5004,10383,4194,19581,58.67361218,0.255553853,0.530258924,0.214187222
2006,Clay,CLAY,13,0.223018123,192,1416,167,1775,55.88112676,0.108169014,0.797746479,0.094084507
2006,Crawford,CRAWFORD,17,0.339882854,513,481,532,1526,60,0.336173001,0.315203145,0.348623853
2006,DeKalb,DEKALB,19,0.282416011,14056,4353,2814,21223,89.47326014,0.662300335,0.205107666,0.132591999
2006,DeWitt,DEWITT,20,0.185209504,1471,2660,304,4435,95.91972943,0.33167982,0.599774521,0.06854566
2006,Douglas,DOUGLAS,21,0.185725101,740,2275,215,3230,92.63560372,0.229102167,0.704334365,0.066563467
2006,Edgar,EDGAR,23,0.343201294,6166,5931,1675,13772,91.31244554,0.447720012,0.430656404,0.121623584
2006,Effingham,EFFINGHAM,25,0.199774412,6318,3245,3438,13001,59.78517037,0.485962618,0.249596185,0.264441197
2006,Ford,FORD,27,0.141241842,2543,5823,1419,9785,81.87899847,0.259887583,0.595094532,0.145017885
2006,Fulton,FULTON,29,0.503748369,1295,1693,918,3906,86.19764465,0.331541219,0.43343574,0.235023041
2006,Grundy,GRUNDY,32,0.232321208,6960,3289,1224,11473,82.95798832,0.60664168,0.286673058,0.106685261
2006,Hancock,HANCOCK,34,0.206030296,7944,20653,7671,36268,85.2477942,0.219036065,0.569455167,0.211508768
2006,Henderson,HENDERSON,36,0.456856618,777,342,374,1493,77.79035499,0.520428667,0.229068989,0.250502344
2006,Henry,HENRY,37,0.301319964,11312,3058,5173,19543,80.1545822,0.578826178,0.156475464,0.264698357
2006,Iroquois,IROQUOIS,38,0.188088967,5092,15149,2069,22310,83.47826087,0.228238458,0.67902286,0.092738682
2006,Jasper,JASPER,40,0.278417058,527,1160,220,1907,57.65128474,0.276350288,0.608285265,0.115364447
2006,JoDaviess,JODAVIESS,43,0.266290535,3036,172,2043,5251,60.33745953,0.578175586,0.032755666,0.389068749
2006,Kankakee,KANKAKEE,46,0.253114118,631,3777,621,5029,81.39133028,0.125472261,0.751043945,0.123483794
2006,Kendall,KENDALL,47,0.227092399,4930,2802,850,8582,85.8177581,0.574458168,0.32649732,0.099044512
2006,Knox,KNOX,48,0.232082778,8151,4321,3941,16413,85.26302321,0.496618534,0.263266923,0.240114543
2006,LaSalle,LASALLE,50,0.204107789,16153,20640,7837,44630,87.7638808,0.361931436,0.462469191,0.175599373
2006,Lawrence,LAWRENCE,51,0.503447329,1847,1511,814,4172,51.334372,0.442713327,0.362176414,0.195110259
2006,Lee,LEE,52,0.252150276,9448,1811,4317,15576,86.98279404,0.606574217,0.116268618,0.277157165
2006,Livingston,LIVINGSTON,53,0.252961327,24853,37527,10921,73301,80.65742623,0.339054037,0.511957545,0.148988418
2006,Logan,LOGAN,54,0.29786275,8083,11479,1375,20937,91.87949563,0.386062951,0.548263839,0.06567321
2006,McDonough,MCDONOUGH,55,0.328137602,3390,4424,1729,9543,89.09011841,0.355234203,0.463585874,0.181179922
2006,McHenry,MCHENRY,56,#DIV/0!,801,74,108,983,90,0.814852492,0.075279756,0.109867752
2006,McLean,MCLEAN,57,0.213001927,20497,40075,10437,71009,89.42662198,0.288653551,0.56436508,0.146981369
2006,Macon,MACON,58,0.267943597,1279,2010,164,3453,93.83289893,0.370402549,0.58210252,0.047494932
2006,Marion,MARION,61,0.274774017,236,316,495,1047,55,0.225405922,0.301814709,0.47277937
2006,Marshall,MARSHALL,62,0.287581761,4416,8869,1372,14657,85.09954288,0.301289486,0.605103364,0.09360715
2006,Mason,MASON,63,0.246233299,1927,7883,4039,13849,66.27344935,0.13914362,0.569210773,0.291645606
2006,Menard,MENARD,65,0.172651867,407,1710,50,2167,89.44808491,0.187817259,0.789109368,0.023073373
2006,Mercer,MERCER,66,0.28583768,20264,8537,9249,38050,76.96961892,0.532562418,0.224362681,0.243074901
2006,Morgan,MORGAN,69,0.315220168,2923,7881,2574,13378,83.38339064,0.218493048,0.58910151,0.192405442
2006,Moultrie,MOULTRIE,70,0.181348887,5409,8919,1564,15892,90.92952429,0.34035993,0.561225774,0.098414297
2006,Ogle,OGLE,71,0.373804555,2282,52,600,2934,86.77743695,0.777777778,0.017723245,0.204498978
2006,Peoria,PEORIA,72,0.239011843,18173,19032,7492,44697,84.87025975,0.406582097,0.425800389,0.167617513
2006,Piatt,PIATT,74,0.401840791,1758,1875,100,3733,93.8443611,0.470934905,0.502276989,0.026788106
2006,Pike,PIKE,75,0.316635436,5656,3091,4716,13463,78.10532571,0.420114388,0.229592216,0.350293397
2006,Richland,RICHLAND,80,0.264217992,1903,917,1137,3957,58.39398534,0.480919889,0.231741218,0.287338893
2006,Rock Island,ROCK ISLAND,81,0.187877495,849,584,1439,2872,79.79770195,0.295612813,0.203342618,0.501044568
2006,Sangamon,SANGAMON,84,0.238644779,7719,12985,2519,23223,92.57882272,0.332385997,0.559143952,0.108470051
