year,county1,county,fbfmcode,debt_to_asset,Cash_acres,Share_acres,Owned_Acres,Total_Acres,spr,Cash_percent,Share_percent,Owned_percent
2011,Adams,ADAMS,1,0.154431674,1919,8603,4274,14796,81.99790484,0.129697215,0.58144093,0.288861855
2011,Boone,BOONE,4,0.214524866,2227,210,580,3017,78.42293669,0.738150481,0.069605568,0.192243951
2011,Brown,BROWN,5,0.149897313,1290,846,323,2459,77.60471736,0.524603497,0.344042294,0.131354209
2011,Bureau,BUREAU,6,0.297387803,4496,694,442,5632,85.63636364,0.798295455,0.123224432,0.078480114
2011,Carroll,CARROLL,8,0.356743502,14834,2458,7869,25161,72.87464727,0.589563213,0.097690871,0.312745916
2011,Cass,CASS,9,0.182968446,918,6222,1240,8380,75.21634845,0.109546539,0.7424821,0.14797136
2011,Champaign,CHAMPAIGN,10,0.212084627,15067,20948,3713,39728,93.47993858,0.379253927,0.527285542,0.093460532
2011,Clark,CLARK,12,0.23960197,6246,10736,5397,22379,58.46092319,0.279100943,0.479735466,0.241163591
2011,Clay,CLAY,13,0.322252143,427,1429,452,2308,53.56672444,0.185008666,0.61915078,0.195840555
2011,Clinton,CLINTON,14,0.235812148,0,0,129,129,70,0,0,1
2011,Crawford,CRAWFORD,17,0.237703605,480,223,545,1248,60,0.384615385,0.178685897,0.436698718
2011,DeKalb,DEKALB,19,0.246159232,15866,2882,2412,21160,89.71143667,0.749810964,0.136200378,0.113988658
2011,DeWitt,DEWITT,20,0.255183678,277,2408,160,2845,91.37644991,0.097363796,0.846397188,0.056239016
2011,Douglas,DOUGLAS,21,0.212809585,1955,4899,555,7409,96.55230126,0.263868268,0.661222837,0.074908895
2011,Edgar,EDGAR,23,0.215879784,3441,2736,814,6991,91.602775,0.492204263,0.39136032,0.116435417
2011,Edwards,EDWARDS,24,0.009698276,1,250,428,679,55,0.001472754,0.368188513,0.630338733
2011,Effingham,EFFINGHAM,25,0.123176702,4187,3185,3708,11080,59.22734657,0.377888087,0.287454874,0.33465704
2011,Fayette,FAYETTE,26,0.392645391,0,220,102,322,60,0,0.683229814,0.316770186
2011,Ford,FORD,27,0.182176777,4058,7412,2553,14023,82.95371889,0.28938173,0.528560222,0.182058047
2011,Fulton,FULTON,29,0.285685278,576,1934,1108,3618,78.04726368,0.15920398,0.534549475,0.306246545
2011,Greene,GREENE,31,0.249597654,151,762,17,930,70,0.162365591,0.819354839,0.01827957
2011,Grundy,GRUNDY,32,0.248492043,9822,5280,1911,17013,81.67483689,0.577323223,0.310350908,0.112325868
