year,county1,county,fbfmcode,debt_to_asset,Cash_acres,Share_acres,Owned_Acres,Total_Acres,spr,Cash_percent,Share_percent,Owned_percent
2010,Adams,ADAMS,1,0.15853691,3410,8059,3610,15079,81.28131839,0.226142317,0.534451887,0.239405796
2010,Boone,BOONE,4,0.390140456,738,210,212,1160,75,0.636206897,0.181034483,0.182758621
2010,Brown,BROWN,5,0.14869544,1153,902,341,2396,77.67028381,0.481218698,0.376460768,0.142320534
2010,Bureau,BUREAU,6,0.273659487,12266,1867,2749,16882,85.80802038,0.726572681,0.110591162,0.162836157
2010,Carroll,CARROLL,8,0.376840492,15325,2425,6615,24365,70.39039606,0.62897599,0.099528011,0.271495998
2010,Cass,CASS,9,0.270359156,977,6131,4497,11605,73.90271435,0.08418785,0.528306764,0.387505386
2010,Champaign,CHAMPAIGN,10,0.264659852,15448,22766,4120,42334,92.93416639,0.364907639,0.537771059,0.097321302
2010,Clark,CLARK,12,0.346093019,6179,11357,4750,22286,58.4667953,0.277259266,0.509602441,0.213138293
2010,Clay,CLAY,13,0.266438477,1580,1221,414,3215,53.95054432,0.491446345,0.379782271,0.128771384
2010,Clinton,CLINTON,14,0.241865515,0,0,129,129,70,0,0,1
2010,Crawford,CRAWFORD,17,0.251055825,469,278,546,1293,60,0.362722351,0.215003867,0.422273782
2010,DeKalb,DEKALB,19,0.207351998,11614,3136,2214,16964,89.89978779,0.684626267,0.184862061,0.130511672
2010,DeWitt,DEWITT,20,0.136813932,1765,1989,431,4185,93.94982079,0.421744325,0.475268817,0.102986858
2010,Douglas,DOUGLAS,21,0.194772815,127,1424,144,1695,93,0.074926254,0.840117994,0.084955752
2010,Edgar,EDGAR,23,0.259269143,2749,3929,453,7131,90.30528678,0.38549993,0.550974618,0.063525452
2010,Edwards,EDWARDS,24,0.013565775,1,252,428,681,55,0.001468429,0.370044053,0.628487518
2010,Effingham,EFFINGHAM,25,0.168069936,4260,3252,2907,10419,59.52788175,0.408868413,0.312122085,0.279009502
2010,Fayette,FAYETTE,26,0.42160043,0,220,102,322,60,0,0.683229814,0.316770186
2010,Ford,FORD,27,0.207392132,6729,8226,3224,18179,81.36140602,0.370152374,0.452500138,0.177347489
2010,Grundy,GRUNDY,32,0.245675407,7422,4329,1125,12876,81.88342653,0.576421249,0.336206897,0.087371855
2010,Hancock,HANCOCK,34,0.202740454,11054,19931,8663,39648,87.10969027,0.278803471,0.502698749,0.21849778
2010,Henderson,HENDERSON,36,0.359311311,1927,881,438,3246,73.94423906,0.593653728,0.271410967,0.134935305
2010,Henry,HENRY,37,0.194316722,5507,1841,2711,10059,80.57341684,0.547469927,0.183020181,0.269509892
2010,Iroquois,IROQUOIS,38,0.166021893,16577,28450,4970,49997,83.4433466,0.331559894,0.569034142,0.099405964
2010,Jasper,JASPER,40,0.262483021,1078,1211,776,3065,58.59706362,0.351712887,0.395106036,0.253181077
2010,JoDaviess,JO DAVIESS,43,0.21470637,1324,192,2240,3756,66.63019169,0.352502662,0.051118211,0.596379127
2010,Kane,KANE,45,0.094885942,2626,0,414,3040,87.32598684,0.863815789,0,0.136184211
2010,Kendall,KENDALL,47,0.209080986,5219,3574,1370,10163,86.36711601,0.51352947,0.351667815,0.134802716
2010,Knox,KNOX,48,0.209368937,7206,3041,5568,15815,84.37388555,0.455643377,0.192285805,0.352070819
2010,LaSalle,LASALLE,50,0.200051144,9966,12836,4284,27086,88.08775751,0.367939157,0.473897955,0.158162889
2010,Lee,LEE,52,0.162593376,579,368,606,1553,87.37862202,0.372826787,0.236960721,0.390212492
2010,Livingston,LIVINGSTON,53,0.200894557,38088,41374,15591,95053,79.71513787,0.400702766,0.435272953,0.164024281
2010,Logan,LOGAN,54,0.23003315,11883,17115,2992,31990,92.20422007,0.371459831,0.535010941,0.093529228
2010,McDonough,MCDONOUGH,55,0.072110467,968,575,373,1916,88.36430063,0.505219207,0.300104384,0.194676409
2010,McHenry,MCHENRY,56,0.053249533,1148,269,514,1931,79.95339202,0.594510616,0.139306059,0.266183325
2010,McLean,MCLEAN,57,0.20681903,32373,47219,13416,93008,88.31841347,0.348066833,0.507687511,0.144245656
2010,Macon,MACON,58,0.2724972,483,1627,58,2168,93.71586716,0.222785978,0.750461255,0.026752768
2010,Marion,MARION,61,0.223641984,236,294,495,1025,55,0.230243902,0.286829268,0.482926829
2010,Marshall,MARSHALL,62,0.195619102,7672,7535,3515,18722,82.90038457,0.409785279,0.402467685,0.187747036
2010,Mason,MASON,63,0.189252931,3349,12971,5547,21867,66.40115242,0.153153153,0.593176933,0.253669914
2010,Massac,MASSAC,64,0.576418633,81,1359,0,1440,60,0.05625,0.94375,0
2010,Menard,MENARD,65,0.166863415,1461,4977,930,7368,84.72421281,0.198289902,0.675488599,0.126221498
2010,Mercer,MERCER,66,0.292113522,14346,8297,8243,30886,75.97662371,0.46448229,0.268633038,0.266884673
2010,Monroe,MONROE,67,0.163965183,397,2272,593,3262,67.54598406,0.121704476,0.696505212,0.181790313
2010,Montgomery,MONTGOMERY,68,0.090768172,127,932,200,1259,90,0.100873709,0.740270056,0.158856235
2010,Morgan,MORGAN,69,0.146261482,2609,5938,2131,10678,85.7737404,0.244334145,0.556096647,0.199569208
2010,Moultrie,MOULTRIE,70,0.139785107,6964,11027,2048,20039,91.91077399,0.347522331,0.55027696,0.102200709
2010,Ogle,OGLE,71,0.235571284,1955,57,684,2696,88.31416914,0.725148368,0.021142433,0.253709199
2010,Peoria,PEORIA,72,0.206300028,20424,18618,8407,47449,85.30816245,0.430441105,0.392379186,0.177179709
2010,Piatt,PIATT,74,0.305360439,8571,6837,844,16252,92.29245631,0.527381245,0.420686685,0.05193207
2010,Pike,PIKE,75,0.275693934,2343,2781,2766,7890,80.00836502,0.296958175,0.352471483,0.350570342
2010,Randolph,RANDOLPH,79,0.542593688,180,650,164,994,57,0.181086519,0.653923541,0.16498994
2010,Richland,RICHLAND,80,0.180086463,1352,489,1121,2962,58.44564483,0.456448346,0.165091155,0.3784605
2010,Rock Island,ROCK ISLAND,81,0.072211125,321,231,528,1080,87,0.297222222,0.213888889,0.488888889
2010,St Clair,ST CLAIR,82,0.422790965,0,1191,64,1255,65,0,0.949003984,0.050996016
2010,Sangamon,SANGAMON,84,0.200394173,7202,11993,3385,22580,91.98928255,0.318954827,0.531133747,0.149911426
