year,county1,county,fbfmcode,debt_to_asset,Cash_acres,Share_acres,Owned_Acres,Total_Acres,spr,Cash_percent,Share_percent,Owned_percent
2003,Adams,ADAMS,1,0.238237424,6263,7579,3947,17789,82.5976165,0.352071505,0.426049806,0.221878689
2003,Boone,BOONE,4,0.298554389,584,0,113,697,74,0.837876614,0,0.162123386
2003,Brown,BROWN,5,0.185273594,2464,885,1058,4407,77.19786703,0.559110506,0.200816882,0.240072612
2003,Bureau,BUREAU,6,0.43823557,19083,7955,8067,35105,80.06278308,0.543597778,0.226605897,0.229796325
2003,Carroll,CARROLL,8,0.531743709,7053,1027,2831,10911,72.72788929,0.646411878,0.094125195,0.259462927
2003,Cass,CASS,9,0.289891431,1126,8473,2684,12283,76.35821868,0.091671416,0.689815192,0.218513392
2003,Champaign,CHAMPAIGN,10,0.30455265,8055,21270,1127,30452,92.61280047,0.264514646,0.698476291,0.037009063
2003,Christian,CHRISTIAN,11,0.243883889,0,435,120,555,87,0,0.783783784,0.216216216
2003,Clark,CLARK,12,0.345933107,5364,9919,2798,18081,59.31098944,0.296665007,0.548586914,0.154748078
2003,Clay,CLAY,13,0.268748924,201,1226,864,2291,55.59100829,0.087734614,0.535137495,0.377127892
2003,Coles,COLES,15,0.639694058,744,920,155,1819,91.84496976,0.409015943,0.505772402,0.085211655
2003,Crawford,CRAWFORD,17,0.447142412,454,600,454,1508,60,0.301061008,0.397877984,0.301061008
2003,DeKalb,DEKALB,19,0.423842142,12842,2003,1636,16481,88.0519386,0.779200291,0.121533888,0.099265821
2003,DeWitt,DEWITT,20,0.465299489,0,410,0,410,93,0,1,0
2003,Douglas,DOUGLAS,21,0.221344016,1216,3241,571,5028,97.0433572,0.241845664,0.644590294,0.113564041
2003,Edgar,EDGAR,23,0.330576033,6006,7123,2151,15280,91.75719895,0.393062827,0.466164921,0.140772251
2003,Effingham,EFFINGHAM,25,0.267227907,4808,5957,3359,14124,60.2068819,0.340413481,0.421764373,0.237822147
2003,Ford,FORD,27,0.27071126,2671,5569,707,8947,83.661339,0.298535822,0.622443277,0.079020901
2003,Fulton,FULTON,29,0.327555265,446,1065,696,2207,85.28273675,0.202084277,0.482555505,0.315360217
2003,Grundy,GRUNDY,32,0.323035852,3725,1794,662,6181,80.49781589,0.602653292,0.290244297,0.107102411
2003,Hancock,HANCOCK,34,0.240840198,12792,21847,10187,44826,86.02833177,0.285370098,0.487373399,0.227256503
2003,Henderson,HENDERSON,36,0.482718531,2006,2470,1857,6333,72.89483657,0.316753513,0.390020527,0.293225959
2003,Henry,HENRY,37,0.334601379,12713,4566,4144,21423,81.76623255,0.593427625,0.213135415,0.19343696
2003,Iroquois,IROQUOIS,38,0.269840955,14242,16216,4557,35015,82.49107525,0.406739969,0.463115808,0.130144224
2003,Jasper,JASPER,40,0.408373607,503,1726,725,2954,59.1591063,0.17027759,0.584292485,0.245429926
2003,Jo Daviess,JO DAVIESS,43,0.270674591,1260,0,968,2228,63.42549372,0.565529623,0,0.434470377
2003,Kane,KANE,45,0.054077954,676,0,436,1112,84.24280576,0.607913669,0,0.392086331
2003,Kankakee,KANKAKEE,46,0.306032462,567,1594,482,2643,85.94400303,0.214528944,0.603102535,0.182368521
2003,Kendall,KENDALL,47,0.103480842,2182,3578,295,6055,84.92089182,0.360363336,0.590916598,0.048720066
2003,Knox,KNOX,48,0.342886083,7181,4648,2708,14537,82.76583889,0.493980876,0.319735846,0.186283277
2003,LaSalle,LASALLE,50,0.271620209,18183,22642,7733,48558,88.45224268,0.374459409,0.466287738,0.159252852
2003,Lawrence,LAWRENCE,51,0.514639234,929,1870,720,3519,53.56095482,0.263995453,0.531400966,0.204603581
2003,Lee,LEE,52,0.17340359,4981,2234,4229,11444,87.01336945,0.435249913,0.195211465,0.369538623
2003,Livingston,LIVINGSTON,53,0.25786217,19777,48345,12248,80370,81.49116586,0.246074406,0.601530422,0.152395172
