year,county1,county,fbfmcode,debt_to_asset,Cash_acres,Share_acres,Owned_Acres,Total_Acres,spr,Cash_percent,Share_percent,Owned_percent
2004,Adams,ADAMS,1,0.242576824,7413,6764,4701,18878,81.82964297,0.392679309,0.358300667,0.249020023
2004,Bond,BOND,3,0.339090448,160,0,132,292,61,0.547945205,0,0.452054795
2004,Boone,BOONE,4,0.284580739,1163,0,188,1351,74,0.860843819,0,0.139156181
2004,Brown,BROWN,5,0.141429737,1739,758,716,3213,80.90071584,0.541238718,0.235916589,0.222844693
2004,Bureau,BUREAU,6,0.397631481,17070,7356,5141,29567,79.71079244,0.577332837,0.248790882,0.173876281
2004,Carroll,CARROLL,8,0.49651713,8735,948,3227,12910,74.10991479,0.676607281,0.073431448,0.24996127
2004,Cass,CASS,9,0.268565466,2213,2613,2348,7174,67.33300808,0.308475049,0.364231949,0.327293003
2004,Champaign,CHAMPAIGN,10,0.250429855,6248,17938,2219,26405,91.84999053,0.236621852,0.679341034,0.084037114
2004,Clark,CLARK,12,0.387319606,4906,11767,2876,19549,59.56166556,0.250959128,0.601923372,0.1471175
2004,Clay,CLAY,13,0.28885069,755,1312,350,2417,55.60653703,0.312370707,0.54282168,0.144807613
2004,Coles,COLES,15,0.046369433,23,247,556,826,70,0.027845036,0.299031477,0.673123487
2004,Crawford,CRAWFORD,17,0.438775613,460,605,464,1529,60,0.300850229,0.395683453,0.303466318
2004,DeKalb,DEKALB,19,0.383994519,10770,1936,1634,14340,87.91164575,0.751046025,0.135006974,0.113947001
2004,Douglas,DOUGLAS,21,0.29585207,625,4530,384,5539,95.01679003,0.112836252,0.817837155,0.069326593
2004,DuPage,DUPAGE,22,0.086575616,10,0,156,166,63,0.060240964,0,0.939759036
2004,Edgar,EDGAR,23,0.412570088,5977,6856,1571,14404,88.60441544,0.414954179,0.475978895,0.109066926
2004,Effingham,EFFINGHAM,25,0.202826063,4738,2045,2465,9248,59.67073962,0.51232699,0.221128893,0.266544118
2004,Ford,FORD,27,0.211933854,4465,7068,1582,13115,84.36934807,0.340449867,0.538924895,0.120625238
2004,Fulton,FULTON,29,0.458486505,1348,2354,1396,5098,86.73891722,0.264417419,0.461749706,0.273832876
2004,Grundy,GRUNDY,32,0.258056631,5417,3341,936,9694,82.51227563,0.558799257,0.344646173,0.09655457
2004,Hancock,HANCOCK,34,0.211129915,12249,21377,9855,43481,86.22865159,0.281709252,0.491640027,0.226650721
2004,Henderson,HENDERSON,36,0.349573056,2390,1405,2082,5877,77.93500085,0.40667007,0.239067551,0.354262379
2004,Henry,HENRY,37,0.361613785,14866,4462,5222,24550,81.52729124,0.605539715,0.181751527,0.212708758
2004,Iroquois,IROQUOIS,38,0.250920332,9785,16637,3178,29600,82.80290541,0.330574324,0.562060811,0.107364865
2004,Jasper,JASPER,40,0.434117093,1420,2342,537,4299,58.94417306,0.330309374,0.544777855,0.12491277
2004,JoDaviess,JO DAVIESS,43,0.263051125,3447,287,2100,5834,63.09941721,0.59084676,0.049194378,0.359958862
2004,Kane,KANE,45,0.132771342,4314,1352,476,6142,81.5983393,0.702377076,0.220123738,0.077499186
2004,Kankakee,KANKAKEE,46,0.125632208,643,1136,482,2261,86.61167625,0.284387439,0.502432552,0.213180009
2004,Kendall,KENDALL,47,0.224870925,1363,3388,421,5172,84.88263728,0.263534416,0.655065739,0.081399845
2004,Knox,KNOX,48,0.239966908,6964,5786,3794,16544,84.14083656,0.420938104,0.349734043,0.229327853
2004,LaSalle,LASALLE,50,0.241349908,20870,27936,9242,58048,88.06294791,0.359530044,0.481256891,0.159213065
2004,Lawrence,LAWRENCE,51,0.529306257,1329,1393,1004,3726,53.1352657,0.35668277,0.373859367,0.269457864
2004,Lee,LEE,52,0.243727275,4388,1705,1862,7955,84.42111879,0.551602766,0.21433061,0.234066625
2004,Livingston,LIVINGSTON,53,0.245231657,23753,43015,13196,79964,80.99526037,0.297046171,0.537929568,0.165024261
2004,Logan,LOGAN,54,0.280809045,13760,23513,4657,41930,91.95418555,0.328165991,0.560767947,0.111066062
2004,McDonough,MCDONOUGH,55,0.403945729,5033,6629,1768,13430,89.90543559,0.374758004,0.493596426,0.13164557
2004,McLean,MCLEAN,57,0.253865239,21348,43518,9661,74527,89.09617991,0.286446523,0.583922605,0.129630872
2004,Marshall,MARSHALL,62,0.232041384,4373,15698,3208,23279,85.58786889,0.187851712,0.674341681,0.137806607
2004,Mason,MASON,63,0.28733482,2169,10613,3840,16622,67.02111659,0.130489712,0.638491156,0.231019131
2004,Massac,MASSAC,64,#DIV/0!,0,0,8,8,47,0,0,1
2004,Menard,MENARD,65,0.211848659,2245,5370,534,8149,88.1546202,0.275493926,0.658976562,0.065529513
2004,Mercer,MERCER,66,0.359462979,23160,10463,11119,44742,75.99651334,0.517634437,0.233851862,0.248513701
2004,Morgan,MORGAN,69,0.322511645,1757,7200,1475,10432,83.0587615,0.16842408,0.690184049,0.141391871
2004,Moultrie,MOULTRIE,70,0.212683688,4994,7193,1193,13380,91.65328849,0.373243647,0.537593423,0.08916293
2004,Ogle,OGLE,71,0.564903161,3978,804,442,5224,85.88150842,0.761485452,0.153905054,0.084609495
2004,Peoria,PEORIA,72,0.293693198,23457,18194,9564,51215,84.74712487,0.458010349,0.355247486,0.186742165
2004,Piatt,PIATT,74,0.395836881,3234,5422,426,9082,92.18266902,0.356088967,0.597005065,0.046905968
2004,Pike,PIKE,75,0.314793053,6594,2506,1876,10976,77.7650328,0.600765306,0.228316327,0.170918367
2004,Richland,RICHLAND,80,0.331508089,3412,2183,1553,7148,55.59401231,0.477336318,0.305400112,0.21726357
2004,Rock Island,ROCK ISLAND,81,0.352569441,866,1313,1053,3232,75.29053218,0.267945545,0.40625,0.325804455
2004,Sangamon,SANGAMON,84,0.261782109,6313,14414,2980,23707,91.37976125,0.266292656,0.608006074,0.12570127
2004,Schuyler,SCHUYLER,85,0.301776066,2059,1445,541,4045,75.45982695,0.509023486,0.35723115,0.133745365
2004,Scott,SCOTT,86,0.338787337,726,2474,918,4118,71.32637203,0.176299174,0.600777076,0.222923749
2004,Stark,STARK,88,0.423382252,13883,9475,5023,28381,89.06736901,0.489165287,0.333850111,0.176984602
2004,Stephenson,STEPHENSON,89,0.311279025,11452,313,4494,16259,74.90891199,0.704348361,0.019250876,0.276400763
2004,Tazewell,TAZEWELL,90,0.284790279,5450,22097,8591,36138,79.08641873,0.150810781,0.611461619,0.2377276
2004,Vermilion,VERMILION,92,0.343750097,21065,43343,5044,69452,83.59448252,0.303303001,0.624071301,0.072625698
2004,Wabash,WABASH,93,0.238662083,495,30,500,1025,64,0.482926829,0.029268293,0.487804878
2004,Warren,WARREN,94,0.339176452,8686,6672,4360,19718,78.03752916,0.440511208,0.338371032,0.22111776
2004,Wayne,WAYNE,96,0.105901186,0,673,429,1102,55,0,0.610707804,0.389292196
2004,Whiteside,WHITESIDE,98,0.393989044,20986,10412,8555,39953,70.5596576,0.525267189,0.260606212,0.214126599
2004,Will,WILL,99,0.059476935,3939,2689,436,7064,78.83819366,0.557616082,0.380662514,0.061721404
2004,Winnebago,WINNEBAGO,101,0.20525064,3735,446,1962,6143,79.43415269,0.608009116,0.072602963,0.319387921
2004,Woodford,WOODFORD,102,0.271496318,5859,3877,2665,12401,90.29618579,0.472461898,0.312636078,0.214902024
