year,county1,county,fbfmcode,debt_to_asset,Cash_acres,Share_acres,Owned_Acres,Total_Acres,spr,Cash_percent,Share_percent,Owned_percent
2016,Adams,ADAMS,1,0.275913574,4850,2846,1877,9573,82.27431317,0.506633239,0.297294474,0.196072287
2016,Boone,BOONE,4,0.024249674,137,365,0,502,88,0.272908367,0.727091633,0
2016,Brown,BROWN,5,0.275245109,988,1025,1261,3274,77.88271228,0.301771533,0.313072694,0.385155773
2016,Bureau,BUREAU,6,0.278898006,8677,2179,4691,15547,87.56621856,0.558114106,0.140155657,0.301730237
2016,Calhoun,CALHOUN,7,0.247085629,171,37,35,243,60,0.703703704,0.152263374,0.144032922
2016,Carroll,CARROLL,8,0.25522209,14481,1981,8896,25358,72.99372979,0.571062387,0.078121303,0.35081631
2016,Cass,CASS,9,0.105024525,2367,8833,1971,13171,77.46275909,0.179713006,0.670640043,0.149646952
2016,Champaign,CHAMPAIGN,10,0.209536043,21952,24655,6449,53056,93.62539581,0.413751508,0.464697678,0.121550814
2016,Clark,CLARK,12,0.165557406,6837,10719,4905,22461,58.52259472,0.304394283,0.477227194,0.218378523
2016,Clay,CLAY,13,0.357968376,2114,689,1103,3906,54.31105991,0.541218638,0.176395289,0.282386073
2016,Clinton,CLINTON,14,0.28316009,856,825,378,2059,69.06459446,0.415735794,0.400679942,0.183584264
2016,Crawford,CRAWFORD,17,0.306788974,1563,1268,1131,3962,56.17491166,0.394497728,0.320040384,0.285461888
2016,DeKalb,DEKALB,19,0.223179774,13262,4532,3460,21254,90.39691352,0.623976663,0.213230451,0.162792886
2016,DeWitt,DEWITT,20,0.261341964,1947,5080,346,7373,93.59839957,0.264071613,0.689000407,0.04692798
2016,Douglas,DOUGLAS,21,0.208010168,1397,4510,756,6663,96.53444394,0.209665316,0.67687228,0.113462404
2016,Edgar,EDGAR,23,0.19772674,3720,4175,900,8795,93.01625924,0.422967595,0.474701535,0.10233087
2016,Edwards,EDWARDS,24,0.65169991,0,722,387,1109,55,0,0.65103697,0.34896303
2016,Effingham,EFFINGHAM,25,0.183682345,1735,1835,1702,5272,60.27921093,0.329097117,0.34806525,0.322837633
2016,Ford,FORD,27,0.239735882,6094,11014,2959,20067,84.25803558,0.303682663,0.548861315,0.147456022
2016,Fulton,FULTON,29,0.383066312,1188,1869,1655,4712,85.80836163,0.252122241,0.396646859,0.3512309
2016,Greene,GREENE,31,0.392564413,135,933,17,1085,75,0.124423963,0.859907834,0.015668203
2016,Grundy,GRUNDY,32,0.276920415,6992,4786,1701,13479,81.45300096,0.518732844,0.355070851,0.126196305
2016,Hancock,HANCOCK,34,0.161769095,10460,13710,7806,31976,86.13638354,0.32712034,0.428759069,0.24412059
2016,Henderson,HENDERSON,36,0.188938586,2790,2139,1138,6067,83.95829899,0.459864843,0.352563046,0.187572111
2016,Henry,HENRY,37,0.241041518,8048,2177,3358,13583,78.67812707,0.592505338,0.160273872,0.247220791
2016,Iroquois,IROQUOIS,38,0.202575543,2798,1972,492,5262,82.67255796,0.531736982,0.374762448,0.09350057
2016,Jasper,JASPER,40,0.19787919,1384,2560,1476,5420,58.03062731,0.255350554,0.472324723,0.272324723
2016,Jo Daviess,JO DAVIESS,43,0.183882385,2912,312,3484,6708,64.2137746,0.434108527,0.046511628,0.519379845
2016,Kane,KANE,45,0.17649467,1711,0,450,2161,88.69643683,0.791763073,0,0.208236927
2016,Kankakee,KANKAKEE,46,0.361742143,127,458,0,585,87,0.217094017,0.782905983,0
2016,Kendall,KENDALL,47,0.228705581,6897,1615,2179,10691,84.47170517,0.645122065,0.151061641,0.203816294
2016,Knox,KNOX,48,0.210938916,11049,4447,6841,22337,80.88812285,0.494650132,0.199086717,0.306263151
2016,LaSalle,LASALLE,50,0.204655397,12051,9515,4655,26221,88.79074025,0.459593456,0.362877083,0.177529461
2016,Lawrence,LAWRENCE,51,0.431645111,5686,3385,1646,10717,55,0.530558925,0.315853317,0.153587758
2016,Lee,LEE,52,0.158732297,1627,784,1705,4116,87.37269193,0.395286686,0.19047619,0.414237123
2016,Livingston,LIVINGSTON,53,0.19574632,43392,44359,19052,106803,81.06091589,0.406280722,0.415334775,0.178384502
2016,Logan,LOGAN,54,0.201029779,31358,35000,7422,73780,91.06000271,0.425020331,0.474383302,0.100596368
2016,McDonough,MCDONOUGH,55,0.274070052,7012,2975,2001,11988,89.40281949,0.584918252,0.248164831,0.166916917
2016,McLean,MCLEAN,57,0.161652656,40891,52008,13998,106897,88.12930204,0.382527106,0.486524411,0.130948483
2016,Macon,MACON,58,0.34004842,4016,3641,196,7853,92.98357316,0.511396918,0.463644467,0.024958615
2016,Macoupin,MACOUPIN,59,0.511603511,2057,349,397,2803,82.53692472,0.733856582,0.124509454,0.141633964
2016,Marshall,MARSHALL,62,0.182249856,2527,1796,1831,6154,82.03379916,0.410627234,0.291842704,0.297530062
2016,Mason,MASON,63,0.179658056,8251,12028,4437,24716,69.94562227,0.333832335,0.486648325,0.17951934
2016,Menard,MENARD,65,0.137278835,1830,3527,1022,6379,86.22480013,0.286878821,0.552907979,0.1602132
2016,Mercer,MERCER,66,0.242521774,21803,8423,11254,41480,76.89071842,0.525626808,0.203061716,0.271311475
2016,Monroe,MONROE,67,0.233979447,2023,2487,1398,5908,65,0.342417062,0.420954638,0.236628301
2016,Montgomery,MONTGOMERY,68,0.187894908,3744,1345,1648,6737,81.32180496,0.555736975,0.199643758,0.244619267
2016,Morgan,MORGAN,69,0.112404669,3521,10461,1485,15467,84.07461046,0.227645956,0.676343182,0.096010862
2016,Moultrie,MOULTRIE,70,0.151829136,6277,8994,1653,16924,91.78793429,0.370893406,0.531434649,0.097671945
2016,Ogle,OGLE,71,0.360984298,15060,440,4106,19606,84.26150158,0.768132204,0.02244211,0.209425686
2016,Peoria,PEORIA,72,0.194412245,24288,21308,11580,57176,82.5325836,0.42479362,0.372673849,0.202532531
2016,Piatt,PIATT,74,0.343580969,9579,5873,954,16406,92.55656467,0.583871754,0.357978788,0.058149458
2016,Pike,PIKE,75,0.202610441,669,846,1022,2537,79.69846275,0.26369728,0.333464722,0.402837998
2016,Randolph,RANDOLPH,79,0.311119023,1804,555,568,2927,55,0.616330714,0.189613939,0.194055347
2016,Richland,RICHLAND,80,0.228105864,1664,1938,1455,5057,55,0.329048843,0.383231165,0.287719992
2016,Rock Island,ROCK ISLAND,81,0.13409369,1525,1791,1184,4500,77.34955556,0.338888889,0.398,0.263111111
2016,StClair,ST CLAIR,82,0.287536531,3328,1403,848,5579,68.7874171,0.596522674,0.25147876,0.151998566
2016,Sangamon,SANGAMON,84,0.144322555,9823,13347,2864,26034,92.84355074,0.377314281,0.512675732,0.110009987
2016,Schuyler,SCHUYLER,85,0.250075347,608,300,79,987,83,0.616008105,0.303951368,0.080040527
2016,Scott,SCOTT,86,0.221224136,1857,3562,245,5664,71.75670904,0.327860169,0.628884181,0.04325565
2016,Stark,STARK,88,0.223909367,18528,5216,5674,29418,87.44632538,0.629818478,0.177306411,0.19287511
2016,Stephenson,STEPHENSON,89,0.287118447,26623,311,9505,36439,76.67081973,0.730618294,0.008534812,0.260846895
2016,Tazewell,TAZEWELL,90,0.194171551,9870,19995,5240,35105,81.42936904,0.28115653,0.569576983,0.149266486
2016,Vermilion,VERMILION,92,0.259890489,27510,24818,6651,58979,83.95169467,0.466437206,0.420793842,0.112768952
2016,Wabash,WABASH,93,0.24296174,1689,999,2071,4759,56.73145619,0.354906493,0.20991805,0.435175457
2016,Warren,WARREN,94,0.230173652,3413,2563,2378,8354,82.8817333,0.408546804,0.306799138,0.284654058
2016,Washington,WASHINGTON,95,0.210899895,462,103,1160,1725,68.04927536,0.267826087,0.059710145,0.672463768
2016,Whiteside,WHITESIDE,98,0.248322581,31350,6378,12208,49936,72.67183996,0.627803589,0.127723486,0.244472925
2016,Winnebago,WINNEBAGO,101,0.282472711,6710,990,626,8326,77.14448715,0.8059092,0.118904636,0.075186164
2016,Woodford,WOODFORD,102,0.179109034,11415,5134,3775,20324,90.67166896,0.56165125,0.252607754,0.185740996
